"Plant_Simple";"Group";"Plot";"Subplot";"visits";"neigh.visits"
"PUPA";"Beetles";7;"C3";0;0
"RAPE";"Beetles";7;"C3";0;0
"CHFU";"Flies";7;"C3";0;4
"CHMI";"Flies";7;"C3";0;1
"HOMA";"Flies";7;"C3";0;0
"LEMA";"Flies";7;"C3";0;5
"ME";"Flies";7;"C3";0;2
"PUPA";"Flies";7;"C3";0;3
"RAPE";"Flies";7;"C3";0;0
"CHFU";"Butterflies";7;"C3";0;0
"CHMI";"Butterflies";7;"C3";0;0
"HOMA";"Butterflies";7;"C3";0;0
"LEMA";"Butterflies";7;"C3";0;0
"ME";"Butterflies";7;"C3";0;0
"PUPA";"Butterflies";7;"C3";1;1
"RAPE";"Butterflies";7;"C3";0;0
"CHFU";"Bees";6;"C5";0;0
"CHMI";"Bees";6;"C5";0;0
"HOMA";"Bees";6;"C5";0;0
"LEMA";"Bees";6;"C5";0;0
"ME";"Bees";6;"C5";0;0
"PUPA";"Bees";6;"C5";0;0
"RAPE";"Bees";6;"C5";0;0
"CHFU";"Beetles";6;"C5";0;0
"CHMI";"Beetles";6;"C5";0;0
"HOMA";"Beetles";6;"C5";0;1
"LEMA";"Beetles";6;"C5";0;0
"ME";"Beetles";6;"C5";0;0
"PUPA";"Beetles";6;"C5";0;0
"RAPE";"Beetles";6;"C5";0;0
"CHFU";"Flies";6;"C5";0;0
"CHMI";"Flies";6;"C5";0;0
"HOMA";"Flies";6;"C5";0;0
"LEMA";"Flies";6;"C5";0;3
"ME";"Flies";6;"C5";0;0
"PUPA";"Flies";6;"C5";0;0
"RAPE";"Flies";6;"C5";0;0
"CHFU";"Butterflies";6;"C5";0;0
"CHMI";"Butterflies";6;"C5";0;0
"HOMA";"Butterflies";6;"C5";0;0
"LEMA";"Butterflies";6;"C5";0;0
"ME";"Butterflies";6;"C5";0;0
"PUPA";"Butterflies";6;"C5";0;0
"RAPE";"Butterflies";6;"C5";0;0
"CHFU";"Bees";8;"C5";1;0
"CHMI";"Bees";8;"C5";0;0
"HOMA";"Bees";8;"C5";0;0
"LEMA";"Bees";8;"C5";0;2
"ME";"Bees";8;"C5";0;0
"PUPA";"Bees";8;"C5";0;0
"RAPE";"Bees";8;"C5";0;0
"CHFU";"Beetles";8;"C5";0;0
"CHMI";"Beetles";8;"C5";0;0
"HOMA";"Beetles";8;"C5";0;0
"LEMA";"Beetles";8;"C5";0;5
"ME";"Beetles";8;"C5";0;0
"PUPA";"Beetles";8;"C5";0;1
"RAPE";"Beetles";8;"C5";0;0
"CHFU";"Flies";8;"C5";0;7
"CHMI";"Flies";8;"C5";0;0
"HOMA";"Flies";8;"C5";0;0
"LEMA";"Flies";8;"C5";0;4
"ME";"Flies";8;"C5";0;1
"PUPA";"Flies";8;"C5";0;7
"RAPE";"Flies";8;"C5";0;0
"CHFU";"Butterflies";8;"C5";0;0
"CHMI";"Butterflies";8;"C5";0;0
"HOMA";"Butterflies";8;"C5";0;0
"LEMA";"Butterflies";8;"C5";0;0
"ME";"Butterflies";8;"C5";0;0
"PUPA";"Butterflies";8;"C5";1;1
"RAPE";"Butterflies";8;"C5";0;0
"CHFU";"Bees";3;"C5";0;0
"CHMI";"Bees";3;"C5";0;0
"HOMA";"Bees";3;"C5";0;0
"LEMA";"Bees";3;"C5";0;0
"ME";"Bees";3;"C5";0;0
"PUPA";"Bees";3;"C5";0;0
"RAPE";"Bees";3;"C5";0;0
"CHFU";"Beetles";3;"C5";0;0
"CHMI";"Beetles";3;"C5";0;0
"HOMA";"Beetles";3;"C5";0;3
"LEMA";"Beetles";3;"C5";1;11
"ME";"Beetles";3;"C5";0;0
"PUPA";"Beetles";3;"C5";0;0
"RAPE";"Beetles";3;"C5";0;0
"CHFU";"Flies";3;"C5";0;0
"CHMI";"Flies";3;"C5";0;0
"HOMA";"Flies";3;"C5";0;0
"LEMA";"Flies";3;"C5";0;0
"ME";"Flies";3;"C5";0;0
"PUPA";"Flies";3;"C5";0;0
"RAPE";"Flies";3;"C5";0;0
"CHFU";"Butterflies";3;"C5";0;0
"CHMI";"Butterflies";3;"C5";0;0
"HOMA";"Butterflies";3;"C5";0;0
"LEMA";"Butterflies";3;"C5";0;0
"ME";"Butterflies";3;"C5";0;0
"PUPA";"Butterflies";3;"C5";0;0
"RAPE";"Butterflies";3;"C5";0;0
"CHFU";"Bees";5;"C5";0;0
"CHMI";"Bees";5;"C5";0;0
"HOMA";"Bees";5;"C5";0;0
"LEMA";"Bees";5;"C5";0;0
"ME";"Bees";5;"C5";0;0
"PUPA";"Bees";5;"C5";0;0
"RAPE";"Bees";5;"C5";0;0
"CHFU";"Beetles";5;"C5";0;0
"CHMI";"Beetles";5;"C5";0;0
"HOMA";"Beetles";5;"C5";1;0
"LEMA";"Beetles";5;"C5";0;7
"ME";"Beetles";5;"C5";0;0
"PUPA";"Beetles";5;"C5";0;0
"RAPE";"Beetles";5;"C5";0;0
"CHFU";"Flies";5;"C5";0;0
"CHMI";"Flies";5;"C5";0;0
"HOMA";"Flies";5;"C5";0;0
"LEMA";"Flies";5;"C5";1;1
"ME";"Flies";5;"C5";0;0
"PUPA";"Flies";5;"C5";0;0
"RAPE";"Flies";5;"C5";0;0
"CHFU";"Butterflies";5;"C5";0;0
"CHMI";"Butterflies";5;"C5";0;0
"HOMA";"Butterflies";5;"C5";0;0
"LEMA";"Butterflies";5;"C5";0;0
"ME";"Butterflies";5;"C5";0;0
"PUPA";"Butterflies";5;"C5";0;0
"RAPE";"Butterflies";5;"C5";0;0
"CHFU";"Bees";9;"C5";0;0
"CHMI";"Bees";9;"C5";0;0
"HOMA";"Bees";9;"C5";0;0
"LEMA";"Bees";9;"C5";0;0
"ME";"Bees";9;"C5";0;0
"PUPA";"Bees";9;"C5";0;0
"RAPE";"Bees";9;"C5";0;0
"CHFU";"Beetles";9;"C5";0;0
"CHMI";"Beetles";9;"C5";0;0
"HOMA";"Beetles";9;"C5";0;0
"LEMA";"Beetles";9;"C5";15;12
"ME";"Beetles";9;"C5";0;0
"PUPA";"Beetles";9;"C5";0;0
"RAPE";"Beetles";9;"C5";0;0
"CHFU";"Flies";9;"C5";1;2
"CHMI";"Flies";9;"C5";0;0
"HOMA";"Flies";9;"C5";0;0
"LEMA";"Flies";9;"C5";1;1
"ME";"Flies";9;"C5";0;0
"PUPA";"Flies";9;"C5";0;0
"RAPE";"Flies";9;"C5";0;0
"CHFU";"Butterflies";9;"C5";0;0
"CHMI";"Butterflies";9;"C5";0;0
"HOMA";"Butterflies";9;"C5";0;0
